screen_name,description,label,,,,,,,,,
rawshrimps,20,below30,,,,,,,,,
MUFCiarann,17 | @ManUtd | @EnglandCricket,below30,,,,,,,,,
tuffers86,"33, Geek, loves Europe - loathes the EU",31-59,,,,,,,,,
CllrCalum,"26 • Councillor for Knellwood, @RushmoorCouncil • @Conservatives • Trustee • School Governor • calum.stewart@rushmoor.gov.uk",below30,,,,,,,,,
Leon_Hargreaves,"24 year old IT Manager and Conservative candidate for West Heath, Rushmoor in May 2020. Want to help my campaign? Contact leon4westheath@gmail.com.",below30,,,,,,,,,
PatrickKoon3,"22, Hong Kong",below30,,,,,,,,,
RGTyler,"25, British-American, Classical Liberal, Political Strategist. MA Security and Intelligence, BA History and Politics.",below30,,,,,,,,,
asj_dasilva,97. Global Studies @UPFBarcelona/@EdinburghUni. Foreign Affairs & Comms. Anglòfil. 📝 @2020cat_. Ex @Europarl_en. De la @penya1930.,,,,,,,,,,
ChelsScarlettx,25✨ Nail Artist 💅🏼 Tom 💜,,,,,,,,,,
LewHix,140 and LUFC,,,,,,,,,,
shinyperson,"30-something man, who requires tea intravenously.",31-59,,,,,,,,,
11xzy,"50 and enjoying life!
Love.... Piers Morgan,GMB, Ricky Gervais, EastEnders, Coronation Street, Friends.
Hate..... Animal cruelty.

Don't dream it, be it !",31-59,,,,,,,,,
james_slater1,19,below30,,,,,,,,,
Stevenyoung27,"35, Gamer (Xbox, PS & PC) @Ibrothersinarms. Geek F1, petrol head, fast cars. #teammerc @lcfc @Bengals Aiutati che Dio t’aiuta. 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇮🇹",31-59,,,,,,,,,
haymansafc,"34 years old and tend to be a bit grumpy. Interested in politics, motoring, UK Travel and a disgruntled Sunderland supporter.",31-59,,,,,,,,,
Rabm25635983,10 01 1983,31-59,,,,,,,,,
thepoordears,"A modern Grandma, retired butcher, strong on good manners and respect for one's elders and Law & Order",over60,,,,,,,,,
bagpiperay,"I am a retired Consultant Child Psychologist. I like cycling, motorcycling, cookery, music and running a successful boy’s football team.",over60,,,,,,,,,
BILDERBERG_GP,"THE BREXIT PARTY. Originally Government Scientists, Motor trade director, Prison Officer. Ardent Brexiteer PTSD disabled retired. NO DM's. SERIOUSLY NORMAL!!",over60,,,,,,,,,
davidericstan,"Sailor, Adventurer, Support Democracy, retired worker.",over60,,,,,,,,,
MazzieParsons,"Animal lover, police family for 18 years; now retired due to RA, proud Brexiteer.",over60,,,,,,,,,
DoyleGerry,"Ex-Army 27 years ex RSM, retired Captain",over60,,,,,,,,,
NormaCKH,"Conservative Councillor for the Wetherby Ward in Leeds CC. Ex-Mayor of Wetherby, retired Prison Governor.Working with ward colleagues for local residents.",over60,,,,,,,,,
wrafter_colin,"retired Irish diplomat; board of @MiseanCara; hon sec @RIADawson SC international affairs; member @IIEA. Brexit, human rights, development.",over60,,,,,,,,,
simon_brew,"Conservative councillor for Purley & Woodcote ward, Croydon. retired IT consultant, grandparent, loves Spain & motorbikes, hoping to improve duplicate bridge.",over60,,,,,,,,,
BoxDgz,"World traveller, dog lover semi retired.  Do love to trade in Stocks and Forex. Views I take on  stocks and shares are mine only, do NOT take this as advice.",over60,,,,,,,,,
HarryLynch2,I am 75 and retired. love travelling favouite place is Las Vegas followed by West Indies and Scotland. Staff of @lollythecat & @EricMcBrug,over60,,,,,,,,,
charleydog1,"sports nut, dog nut and retired Detective. re-tweets are not necessarily endorsements",over60,,,,,,,,,
SheilaGunny,Early retired Mathematics Lecturer in Further Education College in South Yorkshire. Love dogs.,over60,,,,,,,,,
RodBluh,Semi-retired. Trustee of Wilts & Berks Canal Trust.Former Cllr & Leader of Swindon Borough Council. No longer member of a Party.Tweets are in private capacity.,over60,,,,,,,,,
MJohn59655,Royal Navy Veteran with 16 years before the mast ex Subpostmaster former JP and retired Housing Assn Chairman. My OWN personal rants about issues of the day.,over60,,,,,,,,,
fbear999,Politically light Blue. Semi retired.  Hoping  for a good  deal on Brexit. Celebrating a great result for British democracy. Want more money for Public services,over60,,,,,,,,,
keithelaine,Now retired and having my wonderful wife and family looking after me,over60,,,,,,,,,
Steve_highstar,"I am now retired and spend my time on diy, loafing and politics. A committed free thinker, atheist and lover of rock guitarists. RT mean ‘look at this’.",over60,,,,,,,,,
Rugbymumkayla,"Worked for the Emergency Services all of my adult life... nurse then police officer,retired and missed work,I now have the best job ever at my local hospice!",over60,,,,,,,,,
Covbluenose,"A retired pharmacist . I am also a Type 1 diabetic patient, a lifelong Birmingham City fan and, literally, centre right on the political spectrum!",over60,,,,,,,,,
Ron55596079,"I’m a retired business man, economics graduate who is a big Brexiteer and Conservative voter",over60,,,,,,,,,
SelfCleanAir,Semi-retired - just passed on the TiO2 Technology to sister company's in Germany & Norway ( https://t.co/PuAXXpkUNG)  Now watching it progress from the north of Thailand,over60,,,,,,,,,
Tim267626,Ex MD of Hosefast Hydraulics Plymouth. Lived in Cornwall most of my life. Love our chocolate lab who keeps me fit. Now retired and expert in roses !,over60,,,,,,,,,
chrissuddes,"head of digital @chowdenechurch, worship co-ordinator, christian, grandpa, retired business leader, web designer, petrol head, paraplegic.",over60,,,,,,,,,
Jeff48023215,retired ex military and police,over60,,,,,,,,,
barrienunn21,"I am a recently retired financial planner, now living in France, as I have family in both France & UK. Still British, and strongly Pro-BREXIT.",over60,,,,,,,,,
Bebe111,"Wife, Mother, Grandmother, Gardener, retired Midwife/nurse, miniature poodle owner.",over60,,,,,,,,,
garethrwallace,"Former Director of political unit, charity sector, aspiring politician, #towerblocktory, mx5 & mgb owner, retired cyclist & overlander.Defence,Geopolitics,Faith",over60,,,,,,,,,
armywife2278,"Proud army wife, retired professional photographer, transcriber. Mum of 3. Bisexual. Dog lover. DMs ignored.",over60,,,,,,,,,
SheronC01571447,retired accountant - likes organic food - dislikes plastic,over60,,,,,,,,,
ArthursNanny,I'm Artu's nanny - retired baby boomer. Love my family,over60,,,,,,,,,
Antimony1954,"Worked hard and paid taxes, now retired. We have left the EU but not Europe. Life is what you make it. Retweets are not endorsements.",over60,,,,,,,,,
Flash430,"""Semi-retired"" 35yrs expertise Prop Trdr/Hedge Fund Mgr, ""Top 1%” alpha generator #belowradar Not Invest Advice, not selling stuff, Imperial College M.Eng #YNWA",over60,,,,,,,,,
kevin_feltham,"Happy Grandpa. Key: Family, Cats, Conservatives. Councillor, retired healthcare IT consultant. SF nut. Problem solver. Views my own. Retweets not an endorsement",over60,,,,,,,,,
EylesGeoff,Ex Army brat - retired Master Mariner. Retweets are not an endorsement !! 😐 WTO Brexit. #BritishIndependence,over60,,,,,,,,,
Perscotta,"Wife Mum and grandma.  Ex-teacher, ex most things since I retired.   Feel passionately that hurting others by words deeds or ideology is wrong",over60,,,,,,,,,
PeterHa12765643,married. retired grandad.  I love the UK - let's all try harder to get on with our neighbours. FBPE# Kick out the lying Tories,over60,,,,,,,,,
Markisanders61,"ex asset manager for 37 years now retired and a local school-governor, and involved with local charities ,crystal palace fan and pro Europe",over60,,,,,,,,,
GerdiRunte,"European citizen, retired charity worker, UK citizen, German-born, passionate European and traveller - Life is short, take all it’s worth!",over60,,,,,,,,,
ElaineBracken,Retired banking lawyer and now happily retired primary school teacher,over60,,,,,,,,,
EleanorKane18,"Proud Scottish wife and mother; retired nurse and passionate about the NHS, politics, news, (gossip) #FBPE #free Nazanin #FBFFFBPEF",over60,,,,,,,,,
denysbennett,Engineer & Operational Researcher. Now retired. Weakness for taking on all-too-difficult problems that others were wise enough to avoid.,over60,,,,,,,,,
solange_lebourg,Europhile retired lawyer. Brexit is stupid. #FBPE 🇪🇺,over60,,,,,,,,,
copeland_del,retired scientist. likes golf and gliding. especially in vintage gliders.,over60,,,,,,,,,
andrewfolker,"retired from a lifetime in education, enjoy travelling, reading, music, motorcycling, living in france, photography and generally being retired!",over60,,,,,,,,,
ChristophrBurke,Pro European retired airline pilot. Visitor of over eighty countries. User of twitter to gain and share reliable news.,over60,,,,,,,,,
mikehayward99,"Stones, Star Trek and Dr Who fan; retired marketing manager; Kandinsky, John Piper, other painters; historic buildings and churches; red wine; gym(!); photos",over60,,,,,,,,,
WardenGill,"Ex mission partner Nigeria, Romania: ordained CofE #DistinctiveDeacon 1991, MPhil theology, retired, Deacons' Warden Exeter diocese - deacons' cheerleader!",over60,,,,,,,,,
djw_john,"Born in the harsh winter of 1947 in southampton u,k. retired from engineering, wide range of interests",over60,,,,,,,,,
siscostocksey,retired 2009,over60,,,,,,,,,
jamesckearns,"Ex RAF & retired aircraft engineer , supporting Ireland Rugby , Watford FC & Mayo GAA .. CAMRA member ..",over60,,,,,,,,,
dj772014,retired and happy,over60,,,,,,,,,
ann_dempsey,Enjoy my life with family & friends & count my blessings. Was Director at McCann advertising. Then owned my own advertising agency. Now retired. Dr of Chemistry,over60,,,,,,,,,
eeny_1,"🇬🇧Ex-Royal Navy (30 yrs), 10 yrs Finance Director; retired. Voted Leave to regain ceded sovereignty. Love France, dislike EU. Conservative Party member.",over60,,,,,,,,,
iambigal,"Fan of Heavy metal, Liverpool FC, Boston Redsox, Travel, live Theatre, Real ale, Good food, ex railway now retired.",over60,,,,,,,,,
alan_lingwood,"Former Royal Marine - Passionate about my Country and I am a Staunch Brexiteer. Recently retired, I now devote my time to travelling, my family and politics.",over60,,,,,,,,,
lunar0003,retired disabled/decomissioned space cadet,over60,,,,,,,,,
christi07019416,Nearly retired love Liverpool FC and Leicester Tigers member at Lingdale Golf Club and golf nut University of Leicester and De Montfort University,over60,,,,,,,,,
drhaqnawaz,"Doctor - retired. Business - retiring.  Father of 4 - TRYING to retire.    

Community Campaigner - Never retiring.",over60,,,,,,,,,
MartinRaynes,"Semi retired man out in the sticks - enthusiast for classical music, history, astronomy, cricket and philosophy.",over60,,,,,,,,,
ten8ajt,"Soon to be retired motor dealer,looking forward to Barging on the Thames and Europe.Relaxing with my life long partner",over60,,,,,,,,,
PatonTerry,"Small business owner, volunteer paddleboard Instructor, former Councillor, retired Police Officer. Views my own https://t.co/ieZLGI5qPN",over60,,,,,,,,,
nelle49,"Now retired....former teacher and Airline employee Married, two grown up children and granddaughter.",over60,,,,,,,,,
RavinderKITaylo,"Jullundur born Ex RAF, retired teacher, Great Aunt to a 'Cuckoo'!  Into politics",over60,,,,,,,,,
SimonMagus,"Conservative, urbanist, mushroom fan, scourge of the nannying fussbucket. Semi-retired God Emperor.",over60,,,,,,,,,
wk0063,Recently retired Police Detective. Three generations of my family in the service of our Queen & Country with my Grandfather WW1 & Father WW2.,over60,,,,,,,,,
attyjaa,"Happily retired. Married to Tanya,with two kids.Suffolk born and bred. Tractorboy and Trawlerboy",over60,,,,,,,,,
lordf34,"Former Civil Servant, now retired. Father of four, Grandad to four. Reviewer for Discovering Diamonds. Spurs supporter.",over60,,,,,,,,,
xander1952,happily retired .,over60,,,,,,,,,
Bb4Global,"Kind of retired, after a wonderful career, which took me all around the world many times. Polyglot. Proud Burnley FC fan. Wonderful family. God is good.",over60,,,,,,,,,
bruce_bwkm,"Ageing surfer, retired Cow Whisperer and Dolphin Shaver",over60,,,,,,,,,
knight37,Qualified Support Worker/Community Carer/PA NVQ HSC Level 2. Ex semi pro and FA Qualified football coach ( retired from game ) Family man,over60,,,,,,,,,
smmoorehead,retired and happy,over60,,,,,,,,,
babycatcheroz,I'm a retired midwife with CRT-D & LVAD patient waiting on Urgent Heart Transplant List @WaitingForTheC2 & Ambassador for Pumping Marvellous Foundation Charity,over60,,,,,,,,,
MickGreenhough,"https://t.co/zTJalvzvHX, M.I.Mech.E rtd, commercial diver rtd,  Primitive Methodist, Neo-Chartist not retired and eco-engineer tidal flow power, editor https://t.co/xqCynVAF5E",over60,,,,,,,,,
grahammercer13,"retired tanker driver mufc supporter and season ticket holder, love fishing and my lovely bmw 1200 rt whoops forgot the wife.running is my new passion.",over60,,,,,,,,,
LangfordKarelyn,retired nurse 60 pound lighter due to low carb lifestyle never been fitter,over60,,,,,,,,,
billyboyuk9,NCFC Season Ticket holder-now retired-enjoying the quiet life and all things Norwich City.  Keen observer of Wildlife.  Interested iin nearly everything.,over60,,,,,,,,,
NoelpKeane,Fully retired from the wild world of commerce and eventually got it out of my system. Now just spouting my nonsense but supporting Local Businesses as well.,over60,,,,,,,,,
johnmooredge,"married, grandfather, retired banker, bird watcher, biker and ............... likes walking, outdoors, gardening, diy and good weather, oh and wine/ beer etc...",over60,,,,,,,,,
vickylittlewood,retired civil service...eclectic taste in music..honest to the point of being rude.,over60,,,,,,,,,
lynport,"Past career working for small businesses, multinationals, trade associations and charities. Now retired.",over60,,,,,,,,,
lambournpharma1,"Lambourn pharmacist, retired jaded council leader, very frustrated one nation conservative, cyclist",over60,,,,,,,,,
MickOHanlon3,retired and loves playing golf,over60,,,,,,,,,
bmynot,"A survivor of childhood sexual abuse, author of 'Just Once, When I was Little' I'm now retired but help when I can",over60,,,,,,,,,
TrickyAlan,"Town Clerk now retired. Love all sport especially cricket, football and horse racing. Enjoy music from opera to the blues. Keen hobby photographer.",over60,,,,,,,,,
LaraineCrush,Happily retired after serving her time with HMCS; trying to find time to paint and sew by the sea,over60,,,,,,,,,
StephieBarber,After 44 years in the Transport Industry I am a retired old Fart,over60,,,,,,,,,
sloberdobabob,"Protagonist at heart, now retired & speak my mind, hate bureaucracy against Illegal Imigration in all forms. Supports Israel but not Jewish support 100% Brexit",over60,,,,,,,,,
cavatina7,Loves all creatures great and small.retired NHS worker. (you cannot chuck endless money into a huge hole without first plugging the gaps.),over60,,,,,,,,,
Philsnr,"Originally from Whitburn, married since 1984, retired & growing old disgracefully",over60,,,,,,,,,
paletknife,"Artist, retired, likes gardening and swimming in warm seas!",over60,,,,,,,,,
lauriesandra,"retired company director and engineer; private investor; stock market trader, Chelsea FC pitch owner and life long supporter.",over60,,,,,,,,,
v_crouch,"Recently retired, love Europe, dream of a quiet life..",over60,,,,,,,,,
Harv278,"Former Councillor Longridge Dilworth and Leader of Ribble Valley Borough Council, retired Barrister , Former MP West Lancashire,Married 3 children",over60,,,,,,,,,
TheAgedP,"Brexiteer, Grandad,Dad,retired teacher,amateur thespian,admirer of Thatcher and Orwell, honorary Trump train rider, friend of Israel",over60,,,,,,,,,
ddonnatelli,Italian used to work in the City now retired to Suffolk. Enjoying pension life paid for by the bonuses from banking. Thank you all!! #swfc (don't ask) No DMs,over60,,,,,,,,,
pattifloyd72903,retired music educator,over60,,,,,,,,,
BarkleyDFD,"Tea-drinking, wine/gin-imbibing retired teacher/lecturer. Mum & proud Granny. Likes books, current affairs, comedy, music, cats. 
No DMs 
#BREXIT  We did it!!!",over60,,,,,,,,,
JaneHannath,"Wife, Mum, Nana, retired from work outside the home, love researching family history, care about inequality, despair about the current homelessness situation.",over60,,,,,,,,,
Treeat24,"Worked for 30 years with the NHS, now retired and loving life, happily  married.",over60,,,,,,,,,
the_rumster1965,"Consultant, asbestos guru, Fire Risk Assessor, RAF veteran, saintsfc fan. Now semi-retired to Devon. Married to my better half @fr_cyn ❤️",over60,,,,,,,,,
mikwheeler67,"retired in 2009, married with 6 children and 11 grandchildren. interests are fishing, gardening and football watching not playing.",over60,,,,,,,,,
alancecil,Wycombe Wanderers supporter & Trust Director. Also lifelong Spurs fan. Happily retired after 40 year banking career. All views here are my personal thoughts.,over60,,,,,,,,,
MaryMor42826059,"Happily retired in Swaffham. Married to David since 1964, my best friend and soulmate.",over60,,,,,,,,,
clivebarnard3,"I was the chief designer of an international company gave that up to become a rated sculptor, now retired. I am fighting to leave the EU with no deal.",over60,,,,,,,,,
SWmadman,"Husband, Dad, Grandad, exRAF, retired Police Officer, English, British & Proud Lancastrian",over60,,,,,,,,,
RCB76183683,Classic car enthusiast. Recently retired from flying so shouldn't upset the environmentalists as much.,over60,,,,,,,,,
dia2digits,"Married with a daughter retired Police officer, Conservative Councillor for Halesowen, Deputy leader of Dudley Council, a survivor of prostate cancer",over60,,,,,,,,,
retrogeordy,retired train driver amongst other things. passionate motocyclist.,over60,,,,,,,,,
415a66583a364a7,"Royal Navy, fire engine technician,C.S.A. Debt Manager. retired through various disabilities, still positive",over60,,,,,,,,,
mitch8951,"Retired, got bored, unretired. Ex Military, law abiding but willing to question law makers",over60,,,,,,,,,
zoelync87338821,"wife, retired, 2 kid, 6 cats, 50,000 bees. Substainable living, grow your own, allotment, gardener, silversmithing, programmer, designer, crafter #INFJ #Leaver",over60,,,,,,,,,
Christi40330644,happily retired,over60,,,,,,,,,
riiibbit,"Age 71 , (single ) retired . Ex RAF . The older you get the more you don't give a crap . Btw - fuq Diaper Dumpy .",over60,,,,,,,,,
GinaC147,"PR person. Journalist, music promoter, events organiser, now retired.",over60,,,,,,,,,
christinasosseh,"I love the NHS, passionate about it, for all its faults it is one of the best systems in the world.  I used to work in it, but now retired after over 30 years.",over60,,,,,,,,,
mike_coppin,Eurosceptic conservative with no party affiliation. Unashamedly patriotic. Semi-retired Public Financial Management (PFM) Systems consultant.,over60,,,,,,,,,
donstorms1,washed in the blood believer   retired over the road truck driver   married 50 yrs  in 017   Still loving the girl I met in 1965,over60,,,,,,,,,
manlygray1,Graham Hankin formerly C/S traveling the world now retired & back in UK,over60,,,,,,,,,
martinjhorton,Semi-retired Chartered Engineer. STEM Ambassador & NVQ Assessor. One nation Tory.,over60,,,,,,,,,
SussexBoil,"Brexiteer, retired lawyer. 🇬🇧#StandWithIsrael 🇮🇱",over60,,,,,,,,,
Gandhi_ray,"previously worked as a clinical nurse specialist in dual diagnosis in Derbyshire, retired 4 years ago. Working part time for Age-UK Leicester shire and Rutland.",over60,,,,,,,,,
sheilablueangel,"Retired Nurse, worked for NHS for 30 years till medically retired in 2006",over60,,,,,,,,,
LottieGaronne,"retired head teacher; author of Bertuna's Children; amateur poet; European; feminist; girly swot, interested in local and family history, education, politics",over60,,,,,,,,,
bruce_southside,"Youthfully retired retail governor. Now it's Golf,Travel and the only free commentator on here of actual Retail Reality. Sport,Music and Politics thrown in too",over60,,,,,,,,,
RobBluetime,"Former Royal Marine, and retired Firefighter. We won Brexited, #British independence",over60,,,,,,,,,
sharie57,retired teacher. now helping raise funds for a new school in Juba South Sudan,over60,,,,,,,,,
lauriewoo9,"Happily retired Reference Librarian (Newton Free Library, MA), survivor of squamous cell cancer of the left tonsil (treated Oct-Nov 2012, so far NED).",over60,,,,,,,,,
stilton54,"Born in Chislehurst, Kent: grew up in Cheltenham: Medical School in Cardiff: moved around a lot, now settled (and retired) in Bristol.",over60,,,,,,,,,
Alba40,retired NHS nurse british European living in Europe No pension #WASPI No right to vote having my eu citizenship taken away against my will #stopbrexit,over60,,,,,,,,,
gellilyfdy,"British, retired, family man. I no longer vote.",over60,,,,,,,,,
dji45,"Arthritic old git retired from the NHS. Widower who muddles on regardless. Loves ITFC and big fan of Rush, Floyd, Genesis, Marillion etc #FBPE",over60,,,,,,,,,
poumista,"I am a Labour County Councillor, representing Llangennech and Bryn. Opinions my own RTs not.I once was a Tinplater, now semi retired",over60,,,,,,,,,
ChristopherDug2,"Works at being retired. Loves dogs and all other animals, and the planet gifted to us.",over60,,,,,,,,,
susiek227,"Middle-aged widow, retired novelist, living in west London.",over60,,,,,,,,,
Cluckyhenny,"Former teacher and swimming instructor, retired, family in UK, have been in Brittany for 15 years, planning to return to Wales soon #Rejoiner 🇪🇺 No DMs please",over60,,,,,,,,,
phyl_jones,Now partially retired. Sometime bowler and now sec EBUA! Provider of food to two cats & husband. AND proudly Cornish!,over60,,,,,,,,,
millcat57,"Semi-retired, northerner, remainer,",over60,,,,,,,,,
rjbristow,"Husband / Papa, CEO (The Novel Guys), linguist, psychologist, therapist, genealogist, retired lecturer/teacher, travel-lover, jogger, springador-owner😊",over60,,,,,,,,,
salib0329,"Still licking wounds after being shot in the foot! Multilingual retired teacher from North West Wales. Love my dog, books & garden. #YesCymru 🇪🇺🏴󠁧󠁢󠁷󠁬󠁳󠁿",over60,,,,,,,,,
billingtoni,"Now retired,Formerly Miner,S.Yorks.Production/Tpt Foreman,Wadeville S.Africa.Fireman,Lorry Driver,Taxi Driver.Still above the soil.",over60,,,,,,,,,
terencehooson,"semi retired musician,former socialist.Disgusted by our weak and incompetent politicians,aghast at the corruption of the E.U.",over60,,,,,,,,,
HowardWootton,"44yrs in the Gas Industry now retired. Have a small part time job at Greentrees School.Very much into politics,sport and family. English & Irish heritage",over60,,,,,,,,,
williamjohnand1,"Amateur golfer ,tropical home owner ,exciting small cap investor ,grandad ,retired consultant ALGW DEV ECHO HUR MATD",over60,,,,,,,,,
JamesDr52781263,All opinions my own. Any Defence commentary is as a retired Infantry Officer. Driven to Twitter due to Brexit and Trump.,over60,,,,,,,,,
WibbosWords,"I'm a happily retired writer/designer, enjoying the luxury of designing and making stuff just for myself.",over60,,,,,,,,,
Denis_of_Lymm,"Semi- retired web designer & IT Adviser.  Liberal Democrat, Catholic, Catenian, Cyclist, Photographer. My Views are my own",over60,,,,,,,,,
CornishRandalls,"Legal Eagle (retired!), Golf fanatic/Bandit (some say) Lifelong supporter/ sufferer of BCFC (the Blues), was a VERY proud remainer- now rejoiner( eventually!)",over60,,,,,,,,,
Galviam,"Automotive Manufacture, Design and Management recently retired. I have an acute loathing of liars and bullies or those who manipulate the truth.",over60,,,,,,,,,
kay_braine,Former secondary headteacher now retired and living in France.,over60,,,,,,,,,
HelenSalmon2,"I have recently retired from Headship after leading two schools in Devon. Enjoying an active retirement reading, keeping fit, volunteering and fighting brexit.",over60,,,,,,,,,
grammarpuss13,"I'm a retired literacy adviser.  I love to travel, read, ski and indulge my interest in languages.",over60,,,,,,,,,
rolfesm,Used to teach 16-18 year olds Sociology A level. Mother to 3 stepmother to 1 grandmother to 3. Now joyously retired.,over60,,,,,,,,,
8rthur2019,"Teacher, electronics engineer retired to la belle France. J'adore le beau paysage, les gens, le vin😉, le vélo
et ma petite chérie. Je suis gallois👍",over60,,,,,,,,,
tina_jane,"Now retired and looking forward to the next new challenges, educated MBA masters degree. enjoy doing voluntary work and looking to continue in my new home are",over60,,,,,,,,,
Blscriv,A retired granny devastated at how Brexit has made our country so full of hate. Yet to see a better deal than what we already had with the EU.,over60,,,,,,,,,
Demimaderek,"liberal, bloody minded, retired old fart, proud Remoaner who will not give in",over60,,,,,,,,,
helmut_herberth,"👽🇬🇧🇪🇺Happily retired husband and grandpa, grateful to NHS for being alive, passionate remoaner and now apparently a saboteur and enemy of the people.",over60,,,,,,,,,
Rick92859832,"retired Truck Driver
notmypresident",over60,,,,,,,,,
LindaJoyceDavis,married. 4 children 40 down to 24. retired.,over60,,,,,,,,,
IanPowell57,"Ex Company owner, now retired. Share my time between our UK and French homes and our narrow boat on the UK canals. Car enthusiast with three classic vehicles.",over60,,,,,,,,,
lochlaidon,retired stockbroker. born in Bolton. love Scotland. Spectator reader.dreadfully right wing but think I am fair minded ...hope I am.,over60,,,,,,,,,
rolyianhove,"I am retired, live with my Partner and enjoy living life to the full with the help of a band of great friends.",over60,,,,,,,,,
gabrielleasca,washed-up retired top 50 flex dps (psn),over60,,,,,,,,,
Clive_Hallam,"retired, now Borough Councillor at Wellingborough, views expressed are my own and not necessarily those of any group I’m associated with. Reluctant brexiteer",over60,,,,,,,,,
hotdogterminatr,"Tired and retired. Fed up with allPC BS. Intenerant traveler, World wide, and USA RoadtrippeR...IFB all patriots #KAG #MAGA#TRUMP2020#StopReligiousJihadism",over60,,,,,,,,,
peterhinton51,ex Postmaster /constabulary greyhound owner originally Nottingham based now living in Northumbria like NFFC/ NUFC semi- retired,over60,,,,,,,,,
jatroa,Welsh female retired industrial editor.                         ‘Vexatious’ - PHSO and ‘Frivolous’ - Information Commissioner’s Office.   Court disagreed.,over60,,,,,,,,,
jennyre83732548,"retired surgical nurse,one of life's baby boomers,loves reading,trivia,and trying not to grow old gracefully.",over60,,,,,,,,,
RealTeresaMay,I'm a retired UK model. You can get my sexy book on my website https://t.co/6i1mdnnW8x,over60,,,,,,,,,
DisgruntledSerf,"ex forces, retired cop. immense dislike for the parliamentary elite.",over60,,,,,,,,,
peter1608brass,"Retired Head Teacher, retired trombone player with @audleybrass. Proud alumnus of Gillingham School, Dorset",over60,,,,,,,,,
pilot10cliff,"Classic car restoration and retired commercial pilot, spends many months in Crete. Lived in Nashville & Memphis. Passionate for Brexit. Anti Corbyn.FPBE blocked",over60,,,,,,,,,
IanBurt87985937,"Retired, started working at 14, retired at 70. Hamstrung by left wing and loony liberals who excel at dictating to others but incapable of listening.",over60,,,,,,,,,
Joel_Dowler,17 | Politics student | Member of the Liberal Democrats 🔸️ (@YoungLiberalsUK @HaltonLibDems) | @HaltonYC #youthvoice 🗣 | All views are my own,below30,,,,,,,,,
redamberblack,"bradford bulls, bradford city supporter and part retired. 
conservative #GetBrexitDone #DUDE",over60,,,,,,,,,
uker11,Hi I`m long retired and watch Preston North End.,over60,,,,,,,,,
100pcLondoner,Resigned Tory Feb 2017- possibly rejoining. Lambeth Metropolitan elite lite. Semi-retired from City; theatre; history; Arsenal; the Oval. TradCofE,over60,,,,,,,,,
bethans03,Married to Philip ...retired Primary Head Teacher ...Mother to sons ...and Grandma to super grandchildren,over60,,,,,,,,,
IanGould5,A proud care experienced retired probation manager passionate about children in care & probations family/partnerships #cep,over60,,,,,,,,,
saveusrepublic2,"🇺🇸🇺🇸military brat, retired after working as self-employed, still believe in American dream-hard work=opportunity. WANT THE REPUBLIC BACK! #MAGA!!! No DM's",over60,,,,,,,,,
Maqsood14607669,"Uk resident for 50 yrs , retired , enjoying life with special family, living between Dubai/ UK / & Spain",over60,,,,,,,,,
ShivesSteven,"I am a disabled  Vietnam Veteran serving from 1965 to 1968. I am currently retired from government work.#MAGA#Far right.PATRIOT,TRUMP2020.  ConservativesForever",over60,,,,,,,,,
glenford56,"Semi retired retailer ex Asda who now has a life, spends time with his wife running a small cafe and diving twice a week, generally in the sun.",over60,,,,,,,,,
CheekyNUFC,"Newcastle Utd Daft, (soon to be retired) love 🎣",over60,,,,,,,,,
GeoffDunn2,"15 years self employed, 30 years as a director                       now retired and advising business startups",over60,,,,,,,,,
PeterDungey,I'm a retired minister enjoying life in the slow lane,over60,,,,,,,,,
mikewhiteaway,Happily retired from engineering enjoying life with my wife Paula married for 40yrs. I enjoy motorcycle touring holidays on my Honda. We have six grandchildren.,over60,,,,,,,,,
CarolBr41960083,retired but still working at standing up for this country I love,over60,,,,,,,,,
VinceOZ,"Old guy with rooms full of computers and gadgets that hates Leftoids, and Greens. Life is too short to be controlled by idiots, retired now but still can fight!",over60,,,,,,,,,
kennyd6666,retired  Truck Driver,over60,,,,,,,,,
steelterry,happily retired and playing golf at Wortley Golf Club,over60,,,,,,,,,
stevek1134,"Husband, father, retired . Life long Cardiff Devils, Liverpool FC and Cardiff Blues fan and full time Shiba dad.",over60,,,,,,,,,
rosymorri,"Mum, Grandma, retired Secretary, Scottish - a Glasgow girl. Tried for years to resist twitter and ignored it, but now I’m becoming hooked - should stop!",over60,,,,,,,,,
Ann_MadDogLady,"Semi-retired Petsitter (https://t.co/zfdonenR8p), and sometime avid reader Sometime photographer too. Like driving fast and holidays, preferably hot.",over60,,,,,,,,,
LadyMuckOMRLP,"Lady Muck, Minister For Pets And Fluorescent Poo (retired), Official Monster Raving Loony Party. Oh! the loonies out there who are too loony to be Loonys :)",over60,,,,,,,,,
Andrew_S_Hatton,"Dyspraxic & retired social worker who cannot get over his concern for criminal justice especially probation. worked in Merseyside, Essex & London.",over60,,,,,,,,,
CheshirePete,"Mostly retired, travel a lot. Like politics, poetry, art, cricket, tennis, football, hillwalking, motorcycling, jazz, rock. Lover of life and people.",over60,,,,,,,,,
katydid2fury,"Father, grandfather, retired school teacher, trainee guitarist, Chelsea supporter, cycling, feline friend , Labour voter, BA (OU).",over60,,,,,,,,,
