,screen_name,name,description,female
17205,ianbeach2,Ian Beach,,2
17220,dullember58,dullember,"I’m me, don’t like it? then jog on. Committed tattoo addict, making it my life’s work to get covered in pieces of beautiful art.",
17239,tweetingtonia,antonia filmer,"Freelance reporter for The Sunday Guardian-India, Documentary maker, UK- USA- INDIA- KENYA and other stuff - RT's fyi",1
17262,sreynolds196777,Samantha 52%,RealHousewivesofEssex,1
17264,hugh_says,Hugh,"Motorsport, car, plane & train lover. Proud to have voted for #brexit, one of the 17.4m winners.",
17378,iambecomedeath3,Matthew Nunn,,2
17381,spdm1968,Steve Mortimer,,2
17394,AruSivananthan,Aru Sivananthan 🇬🇧 🇦🇺,"Chair British #Tamil Conservatives, @BTConservatives, #HumanRights, #CivilLiberty, #FreeMarkets, Love #London, Second home #Sydney. Retweets Not Endorsement",
17512,ThoroughBrit,Dexter,,
17535,simonowens888,Simon Owens,Libertarian pro-European Brexiteer.,2
17555,RebLBrown,RebLBrown,There are two types of people to avoid as you go through life: the ones on drugs… and the ones who should be.,
17556,AndMedh,Andrew Medhurst ⏳🌍 ❤️ 🇵🇸 🦊,Ex-banker unable to ignore the risks of #ClimateBreakdown #LCFC #Palestine #ExtinctionRebellion,2
17558,Drdavidlowryho1,Drdavidlowry@hotmail.com,,
17565,gilli5,Gilli,", #IAmTommy #freeTommy #brexit #trusttheplan #trump #iamsoldierx #WWG1WGA #Q #fullyawake #christian #catholic Love all animals",
17570,Bulldog665,Bulldog66 #BrexitOutIntoTheWorld,Time to be proud of our country again,
17575,Arron_banks,Arron Banks,,
17673,SEJM76,Sarah Mayall,,1
17702,Lizads3,Liza,It is better to be hated for what you are than to be loved for what you are not,1
17738,007attorney,"Michael Weiser, Esq.",Advocate | Speaker | Writer | Consultant #Attorney #ForeignPolicy #MiddleEast #Terrorism #SecurityClearances #FOIA #Lawfare Tweets/RTs ≠ legal advice.,2
17747,Williams4Mary,Mary Williams,Mary Williams - Love walking and the countryside. Interested in politics,1
17768,SimonSttj,thewlis,"lover of Africa, the countryside and believer in the Union but not in PC clouded environment and inflated EU",
17875,Snoozer95,Richard Harrison 🇬🇧,"Citizen of Yorkshire , England , Great Britain..European not EUpean.",2
17946,Raphaelhd1,Raphaelhd,"History Student and Museum Volunteer. Interested in popular culture, history and politics.",
17976,Palivy05,village boy,,
18006,Andy201163,Andy R,,2
18009,DMUConservative,DMU Conservatives,Official Twitter Account of the De Montfort Conservatives. Patron @NeildotOBrien. President @Guyton_Day and Chair @Jacobchenley,
18149,yeahmosaidit,Ms McIntyre,"Retired 30 yr Science educator, voice texter, provocateur, entrepreneur, environmentalist, humanitarian, and mom to many children from another mother!",1
18159,QWERTYorAZERTY,Eastbourne Tory,Blue is the colour - #CFC & Conservative. Brexit before Party. Doxxed so now anon #Eastbourne,
18195,Timbob_23,Tim Burgoyne,Life long biker/Hammers supporter. Pro-Brexit. Pro democracy/Europe. Anti-EU. Retweets not endorsements. Virtue-signalling pious keyboard warriors can bore off!,2
18201,trinityb38,trinityboy,"Big Shop at Aldi Süd
https://t.co/wVEHuSXbuv",
18216,dunkleybrighton,Brighton Elizabeth,"22 year old. Conservative and Unionist 🇬🇧 Political economy student. 

#GotBrexitDone",
18325,GreerKellyg37,Kelly Knibbs,Leicester lion speedway fan,1
18357,VJC17,VJ,"Father, Husband, Son, Beans & Bricks. Anfield & King Power. Views are always my own (RTs are not endorsements).",
18363,RossIGrant,Ross Grant,"Bloke in Knighton. Geriatric rugby player/fan, F1 fan, alfitsi, 91st Lord Mayor of Leicester.",
18437,nickfaith82,Nick Faith,"Co-founder of WPI Strategy, Advisory Board Member of Onward. Formerly Director of Comms at Policy Exchange",2
18438,guymiscampbell,Guy Miscampbell,"Economics & data @ukonward | Formerly @wpi_economics @SocMetricsComm @Policy_Exchange | But mainly climbing, skiing and cricket.",2
18478,befriendingnet,Befriending Networks,"We envisage a society which values befriending and recognises its importance, and where everyone who needs it has access to befriending support.",
18496,ZestiGlass,Sheila,,1
18524,lepdavidnowell,david nowell,"Business editor, Lancashire Evening Post, Preston. Overweight jogger, keen walker, occasional golfer and ex-youthful hack.",2
18547,EdwardBirdShrop,Cllr Edward Bird,Shropshire Councillor for South Shifnal and Cosford,
18672,ChristineEasda1,Christine Easdale,cake,1
18703,Rita686475,Rita,General News Royal Family Entertainment Celebrity Television Books Museums Weather News,1
18704,premitrom,Premitrom,"Cat loving lazy person, likes bananas, disagrees with socialism at a molecular level",
18765,JohnDav54,John Davenport,,2
18770,DalzielAndy,Andy Dalziel,Determined to enjoy myself and succeeding.,2
18824,carlchallis1,carl challis,Harry Potter/Lord of the rings/hobbit Geek. #BLACKCOUNTRY #ALBION. for Real ale and craft ale follow my Instagram @CarlChallis,2
18830,pcluer1664,Peter Cluer Esq.,,2
18861,lolcamm,Lolcamm,"Standing for England 🏴󠁧󠁢󠁥󠁮󠁧󠁿, for free speech, for democracy, and, against PC, religious & political barbarism. #GetBrexitDone #BritishIndepedence🇬🇧",
18883,IanCornwell6,Ian Cornwell ➡️,"What's that sound?  Ah, that's Brexit being done!

Blocked by @AngelaRayner",2
18927,Dav_m160,Davie Jules esq. 🇬🇧,"British and proud pro Union.Lefties and liberals won't get a response, I don't encourage losers. #INSTABLOCK #British independence.",2
18956,SusanHu25307477,Susan Hurst,,1
18979,Defender904x4,Lazy J,"Anti snowflake.

My pronouns are the normal ones used by normal people every day.

To me non binary means you can't count.",
18996,Leeedwards28,Lee,,
19068,Katana87064652,Katana,BREXIT I luv you.,
19094,soyoprincess,DOTSM. Standing with ✡️,"50 summat insolent harridan. Likes good food, baking, crafts, travel, opera. Dislikes champagne socialists, trolls & mind readers who tell me what I voted for.",
19140,katiewelsh57,Katie,Retired NHS Manager. Born in Wales with music in my blood and poetry in my soul. No DMs please.,1
19217,BBCPropaganda,Ⓑritain Ⓑattles Ⓒovid,"Stories from the British Biased Communication Propaganda Department. Not affiliated with any other organisation with a similar name.

If you like it, RT it.",
19285,iancharris,Ian,"Commercial insurance guru, critic of under performing England teams. Sarcasm and irony expected. views expressed are my own.",2
19291,Bill_Cameron,Bill Cameron,Events from UK. Married gay man 🏳️‍🌈🇨🇳🇬🇧. #Conservative #SNPout. #Brexit 👍. No DMs! No Lists. RTs ≠ nor imply agreement. GAB as https://t.co/4ACHy6U7UT,2
19565,MarkCarroll20,Mark Carroll,,2
19577,Godfrey28482926,Godfrey,"Retired IT Project Manager.  
Conservative Party member. 
Proud to be a 'Boomer' -  We created the modern, civilised, prosperous, secular, technological world.",
19646,Welsh_Scarlet,Gruffydd ap Keith ✝️ 🥾,"An ordinary Brit trying to make sense of the world we live in today....Gwleidyddiaeth: Canolfan hawl.

** Shadow  Banned 2016/17/19 **

  🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧🇺🇸",
19736,Kevin70971575,Kevin,"Masocist and Aston Villa fan, so it follows dun it!",2
19761,grumpy2447,Grumpy,just grumpy,
19766,Tigzy_J,Arthur Pewbglount QC,"Formerly of the left, now going a bit right on account of the left becoming completely unhinged.",2
19838,KimeDenise,Denise Kime,"71 years old, heartbroken mother. Please don't DM me. I won't answer, sorry.",1
19937,JSGsixtyone,Jeff G,,2
19939,DullProvincial,To slide in on a shrimp sandwich,,
19944,cjbulpett,Christopher Bulpett,,2
19949,roblwilson,Rob  Wilson,Retired Accountant and Counsellor,2
20035,xander1952,jim duffy,happily retired .,2
20059,Bb4Global,Mike Black,"Kind of retired, after a wonderful career, which took me all around the world many times. Polyglot. Proud Burnley FC fan. Wonderful family. God is good.",2
20109,WayFlibertLcfc,FilbertWayLCFC 🇬🇧,31st January 2020 - National Independence Day 🎉🇬🇧#LeaveMeansLeave #NeverCorbyn #BackBoris LCFC Fan.,
20185,wolv1000,Willy Krusell,"Retired Semi Equip lifer. MIT Ph.D., UM grad FB/BB fan. Avid skier. All in for Trump I lived through the free trade destruction of Mi. #MAGADeplorableRubeBoomer",2
20186,philipson1979,Lee Philipson,"Army Chef, Dad, Arsenal, Vale46, StarWars, Yorkshire man & England Till I Die",2
20187,supersport,Super Sport,,
20197,tlsg99,Make the World a Better Place,Vote 🗳 Time for change. Vote out corrupt Democrat and Left Wing Politicians Corrupting & Dividing Our Communities #Conservative #CommonWealth #Brexit #,
20250,PauljePaul,Paul E Johnson,"Outdoors, Adventurer, Farmer. Ne cede malis ישראל ""yield not to misfortunes""",2
20274,ianwr19ht,Ian Wright,"Lives on top of a hill, great view and loads of wildlife to admire.
IT Director & Chartered Accountant.
Views are my own, Retweets are not endorsements.",2
20358,FredGeorg2,Fred Georg,,2
20367,Davenports1829,Davenports Brewery,Famous Birmingham Brewery since 1829,
20416,Paul80723677,Paul,,2
20435,Bx75Dave,Dave B,"If you don’t like what I’m saying, don’t forget you’ve got a block button.",2
20476,kheatherbrown,Kate Brown 🇬🇧 WTObrexit # BritishIndependence,🇬🇧LeaveAlliance 🇬🇧 No DM's please,1
20506,TeakSawdust,Andrew Daniel,,2
20511,candtalan,alan cocks,"Retweets are not endorsements. Retired from paid work. Energetic advocate of FLOSS, Ubuntu advocate. Run FLOSS clubs in local U3A.",2
20537,waterloo5000,waterloo,Supported the cross-party campaign to leave the EU. Conservative activist and Councillor.  Support Boris for PM,
20602,CllrYelland,Cllr Julie Yelland,Councillor at West Devon Borough & Okehampton Town for Okehampton South. All views expressed are my own and do not necessarily reflect those of either Councils.,
20753,georgemasonNS,George Mason,"▪️Political enthusiast ▪️Interested in Criminal Law ▪️ Love cooking ▪️Gin lover. 

🇬🇧

All views are my own. RT not endorsement.",2
20806,sophbyk,Sophbyk,blue with a few pink streaks.,
20872,OllyScargill,Olly Chapman Scargill,"Medical student.🇬🇧
Prospective Tory candidate for Wingrove ward",
20880,William27472105,William Charles Williams,Brexit means Brexit. leeds United the only club for me.,2
20893,carolinesymonds,Cllr Caroline Symonds,"Town and Borough Councillor, Accountant and Mummy. I love spending my time with my beautiful children, family, friends and drinking lots of coffee!!",
20901,ChelseaCraige,Craige Coren,Long term Chelsea supporter and season ticket holder - I sat through the bad days long before Roman's arrival so the last few years have been a lot of fun.,
20972,beccasteinfeld,Dr Rebecca Steinfeld,"Campaigner & researcher: reproductive rights, civil partnerships, genital cutting. Work @MaternityAction On Expert Panel @WRISK_project User rep @ChelWestMvp",1
20998,JayC1l,Jayc,"Every troop/veteran matter.#mbga #maga.#mega
 @realdonaldtrump @gerardbattenuk @mlp_officiel. hate labour UK & Blair BBC against jihad, antifa = terrorists",
21022,beaver_paul,Paul Beaver,"Historian, Broadcaster, Writer, Pilot. HGC 601 Sqn Army Flying Museum Trustee Barnes Wallis Foundation Winkle's Biographer Navy Wings History Tour Guide",2
21048,JayneOzanne,Jayne Ozanne,Gay Evangelical Christian - Writer - Speaker - Member of General Synod & Government's LGBT Advisory Panel - Director of @OzanneFoundn - Editor @ViaMedia_News,
21064,LGBTconstruct,LGBTconstruct 🏳️‍🌈Christina Riley,@LGBTConstruct⭐️@ChristinaLRiley ⭐️Global EDI Network Blog/Vlog LGBTIQ Intersectionality Gender Ethnicity Hidden/Disability⭐️Co Founder2015 @BuildingEqLGBT,
21095,Ziya_Meral,Ziya Meral,"Senior Resident Fellow @CHACR_Camberley, Senior Associate Fellow @RUSI_Org, Director @CRGA_London.. Tweets, views expressed are strictly personal",
21181,MarkThombs,Mark Thombs,"Random Musings & Pics including Wildlife,Ewoks,Food,Sport & Politics.Rare bouts of being grown up. Retweets not always my views. Enjoy the ride.",2
21231,Dannyboy670,Danny,"Electrical whiz and family man. Football, Boxing, Politics .",
21294,pompeyaj1,pompey 257,portsmouth fc season ticket holder  conservative party member  . views are my own and don't take life too seriously !,
21323,BeeNewsDaily,BeeNewsDaily,"⭐️Welcome to the BeeNewsDaily and the BeeNewsDaily Buzz Twitter. Follow us for news and updates on our BeeNewsDaily website, Twitter and Facebook.",
21344,inkybuss18,Inky Buss,"I am the cat who walks by herself, and all places are alike to me. #mewtoo",
21391,devinchi1,Devinchi,"To be heard in your own right, you must first listen to yourself.",
21451,bethhowells,Beth Howells,,
21456,njcb03,Nathan,@officialBHAFC | home and away | #bhafc,2
21489,rebeccaturnerMD,Rebecca Turner MD,,1
21515,triciaaaarose,tricia ☆,Young Conservative and also a lover of fox's biscuits,
21521,richardh105,Richard Houghton AmBCS,My views are my own....School in the 80's - Duran Duran... good time was had... Sensible - Sometimes..now IT 3rd level Micheldever Tyres Group,2
21543,UkAmbassador,AmbassadorUK,,
21556,cladle,Claire Adler,"Heritage Consultant: Communities, Learning, Development. Supporting NLHF (formerly HLF) museum and community heritage projects, stories, social impact.",1
21572,SteveGrubb,Steve Grubb,Short-arsed waddling bastard,2
21585,julianbond12,Julian Bond,#howtoreadthequran #JesusRediscovered | Fan/Ambassador: @chickpeapress @johnsw (click link) @stethelburgas @wawstories | Christian-Muslim-New Age,2
21650,knight37,wes knight,Qualified Support Worker/Community Carer/PA NVQ HSC Level 2. Ex semi pro and FA Qualified football coach ( retired from game ) Family man,
21664,gordonmichie,gordonmichie,Head of Fundraising @poppyscotland,
21695,SDHStephens,Samuel Stephens,"🇬🇧 🇮🇩 British-Indonesian 
🏳️‍🌈 LGBT and proud
🌳 One-Nation Conservative.
Loving each new existential political crisis one step at a time",2
21731,Guinevere55,Gwen Whiteman,"Likes free speech, intelligent conversation & occasional banter. Dislikes Anglophobia. Doesn't tolerate rudeness or left wing ranting.",
21738,colblimp1983,Lieutenant ‘Spud’ Wilson,Adjutant to Major-General Clive Wynne-Candy. Brute force and ruddy ignorance. By the authority of these guns and these men. War starts at midnight.,
21797,MannersPR,Manners PR,Experienced and talented PR professionals. Creative content in words and pictures. Insightful media analysis. Est. 1985.,
21803,anitadavid2012,Anita David,,1
21844,jackworlidge,Jack Worlidge,"Parliamentary staffer, interested in foreign & economic policy. TRG Tory. Events for @YPFPLondon. Views my own.",2
21926,Xlibris1,Xlibris1,Writer. Photographer. Observer. Sceptic. Old Whig,
22144,Daas_Asterot,David Asterot,,2
22163,noelhug32462142,no 6,,
22180,watchmaker101,David Meehan,"Conservative, Horologist, Accordionist, Zionist, History & Culture. Tweets=personal. RT≠Endorse.",2
22196,nicklangdale,Nick Langdale,"Married to Sharon. Dad to Anya & Stanley. IT Sales Director. Sports mad!Marathon Runner, Snowboarder & Golfer. Cricket. Leicester City FC",2
22202,TheStaunton,James Staunton,,2
22358,Miniclipperchat,MiniclipperLogistics,"Fast growing, professional 2nd generation haulage/warehousing business, Miniclipper Logistics is a 3PL warehouse & transport company near London & Milton Keynes",
22447,captainblackca1,captainblackcabbie,"I’m English , TOMMY ROBINSON IS A GEEZER , I’d fight David lammy anywhere,who the f@ck votes for Diane Abbott or mayor Khan",
22477,SKJBell,Steve Bell,"Former President NCC, Member of the Party Board & Chair Associations Finance Board. Chair,The Queen's Regimental Association. Cllr BHCC for Woodingdean",2
22508,roddythecod,Rod Dennis,,
22519,tamlarge,Tam Large,,
22542,marcopollo036,Mark,Comedians Government Premier League News Entertainment Sport,2
22557,thegingerpig,Ginger Pig1,,
22584,Germans4Brexit,Germans4Brexit,"German citizens who support a Europe of free, independent nation-states trading and cooperating together. Hoping that the UK will free itself from EU shackles.",
22590,LeavesSingtoMe,Pleasant,,
22597,ballhelen89,Helen Ball,"Churches, history, animals of all sorts, Tertiary Order of the Holy Paraclete. Ⓥ",1
22636,davidsoskin,David Soskin,Digital investor. Board Director. Ex No 10 Policy Unit. Author of 'Net Profit'.,2
22692,nutspeed2,Craig Nuttall,"Our opinions may vary and differ
but remember we're all just the same

So though we may argue and bicker
remember it's only a game 😁👍🏻",2
22748,davidpett,David Pett 🇪🇺,Lawyer. Love sport and also everything to do with the law and the enviroment. Retweet is not an endorsement | Views are my own,2
22753,BOLD_Group,Local Business Forums,"Quarterly #Networking Breakfast Forums serving businesses in #Breckland, #Broadland, #Attleborough & Snetterton and #SouthNorfolk",
22766,Tom_Seagul,Price Lies,"Parody. Racing journo, spent whole adult life putting into the sport more than I should have done. Available for festival preview nights and breeding",
22779,TobyBaxendale,Toby Baxendale,"Father , Entrepreneur (Kampachi Farms, Grimsby Seafood Village, Tunart, +others) , Investor , Ironman and Bike Mad, Legatum Trustee, Cobden Centre Co-Founder",2
22792,tomparkhill,Thomas Parkhill,"Cons Cllr for Llanishen and Thornhill. 07976440587. Views are my own. RT not necessarily endorsements. Cricket, Man U and Live music fan",2
23048,jamiegentry74,jamie gentry,🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿 #BritishIndependence,2
23086,BenIbro,Ben Ibrahim,,2
23087,ChelmsCityCons,Chelmsford Conservatives,The official Twitter account for the Chelmsford Conservative Association #Conservative #Chelmsford #Essex,
23100,PeterWilliamde1,Kernowphile,"Love holidays inCornwall real boutique hotels great tasting food. supports sovereignty democracy freedom from a federal Europe, WTO and trade with the World",
23106,furbabygirl,hilary,Dont let people discourage you... Just fluff out your tutu and dance away.,1
23121,BrensonBeaumont,Brends,"""It is better to be truthful & good...
than to not."" 😄 -D.R.S.
""Trust in the Lord and do what is right."" Psalm 37:3
Ireland☘ she/her",
23129,OWBCreative,Andy Wilkinson,MD. 20 years. Entrepreneur. Business generator. Viz reader. Creative do-er. NED @stgileshospice 😁 https://t.co/1xofmfcgfK #CLFamily,2
23191,Jo20275822,Jo 🖤#IamEuropean,"Nothing changes if nobody changes. There is no planet B. 🖤

White Ribbon UK- opinions my own.",
23220,RichardPatey,Richard Patey,"investing in websites - offer a weekly paid newsletter for website investors with top deals, exclusive content and operational process templates.",2
23458,Silidge1,The Rightwing Librarian,"My special boy Rex left us recently, miss him. I hope he has found other beagle friends over the rainbow bridge and is waiting for me.",
23463,jattack2,john attack,marching on together MOT,2
23527,oliverhingston,Oliver Hingston,Views are my own. RTs are not always an endorsement.,2
23536,kayci_bernard,Kayci bernard🏴󠁧󠁢󠁥󠁮󠁧󠁿🇮🇪🇬🇩🇮🇹,Arsenal and Brentford supporter.Born and raised in London.I am the greatest mix race person you know,
23540,SkSpschofield,Steve Schofield,,2
23548,stewpot47,Stewart Campbell,"Retired, Ex IT consultant, Programme Director Tweets are my OPINIONS!",2
23579,pollymackenzie,Polly Mackenzie,"Chief exec of @demos, the cross party think tank bringing Britain back together. Founding director @mmhpi. Former spad to the DPM. Camberwell resident.",
23596,officialjoela,Joel Anderson,,
23725,SpencerBurrell,Spencer Burrell,"Project Manager, Chartered Surveyor, Dereham Round Table Member",
23726,ratasa_,Rahul,"My own tweets on non-partisan politics, tech, and environment. Retweet≠endorsement.",
23736,PUBLIC_Team,PUBLIC,PUBLIC helps #TechStartups transform the public sector and capture the $400bn global #GovTech market. Investment | Insight | #GovStart growth programme.,
23741,equineblogshare,equineblogshare,#equineblogshare is the #hashtag for promoting #equine & #equestrian #blog #content  we #retweet anything & everything #Horse in association with @aponyhour,
23742,SheilaMaryBaile,Sheila Bailey,"Experienced Charity Professional & Event Director, Racehorse Owner & Breeder,  Freeman of the City of London, Liveryman WCF
All views my own.    
BHA steward.",1
23805,agileachieve,Galvanize,Agile Achievement - Home of the Strategic Story & Shrinking the GAP - Creators of #Galvanize #GlobalAgileStrategy what Business & Politics can learn from Space,
23810,Paulfo,Paul Foster 🕷,I like making good stuff happen.,2
23857,A47info,A47Info,"RaspberryPi hosted bot retweeting anything with the #A47 hashtag, hopefully re: the A47 Leicester to Gt Yarmouth trunk road. Just a bit of fun c/o @jonnysymonds",
23890,MellissaLaviol3,Poltergeist2020,"Talk to me, in yr own language, plz💀☠️👽👻🤖👾😸😿",
23922,reawilliams_,Rebecca Williams,Proud Lancastrian stranded in Ldn | Heading up @RenewableUK policy team | Talking about #Renewables #NetZero | Somewhere outdoors rest of the time | My views,1
24143,laurabateman48,Laura Patil,"Mum, wife, business consultant who loves traveling, cooking and making everyone happy!",1
24268,RFarrevahar,Reza farrevahar,https://t.co/garXnjwUum,
24272,siavosh33,Siavosh Rajabi,"Senior University Lecturer, President of National Association of #Iran'ian Academics in UK",
24301,Juliebryan18,Julie bryan,,1
24317,golnarb,Cllr golnar bokaei,"honest, direct and caring.










RT does not mean endorsement but merely for information.",
24355,Alistairdks,AlistairdeKareSilver,Financial PR Consultant |Tory |Pro development & infrastructure - particularly trains and cycling!,
24357,shiftehjanan,tousan,,
24383,AAPrager,Cllr Alex Prager,"Councillor for West Hendon. Views = own, RT ≠ endorsement.",
24398,Arman4Azadi,Arman,Freedom and Human Right Advocate,
24409,Mostafa17757039,Mostafa_Rahimi,Welcome! I’m interested in human rights & nature,
24438,thomas_pedrick,Thomas Pedrick,@PwC_InterDev Director. UKaid & foreign policy| Eastern Europe and Central Asia | Better public services| Better programme delivery| All views my own,2
24440,Sekerinska,Радмила Шекеринска,"Заменик на Претседателот на Владата на Република Северна Македонија, Министер за Одбрана и Заменик на Претседателот на @SDSMakedonija",
24445,MazurMargaret,Margaret Mazur,Passionate about Social Justice,2
24496,GRRVF,G,“The problem with socialism is that you eventually run out of other peoples' money”,
24513,arranh143,ACH,"Failed Academic, Failing Guitarist, Floundering Armyman. Tweets are my own.",
24548,Altern8rv,Chantelle Taylor,"Former SNCO British Army 
“We are soldiers who carry medical packs not medics who carry weapons...” CT
Authenticate all military/former military accounts.",
24561,steverobinson99,Steve Robinson,Enjoying the ups & downs as a United fan,2
24586,RBLX_Lambart,For Queen and Country🇬🇧,"Monarchist, Conservative Member and Church of England! God save the Queen.",
24687,DeanWading,Dean Wading,Dog lover ..townie moved to the country and loving all things local to Malvern...,
24721,Farleys_Rusks,Bob Farleys,"Books, books, & more books 📚 History reader, documentary viewer, eclectic music listener 🎼 Ex-forces, lover not a fighter 😉 Traveller but Brexiteer🇬🇧",2
24747,Hartshay,Paul Williamson,Declining gradually with mnd but enjoying life more and more,2
24848,BREXITN0W,🇬🇧🇬🇧SCRAPTHELICENCEFEE🇬🇧🇬🇧🇬🇧,@johnpponeill,
25072,john31569,john,,2
25075,RichMusgrave,Richard Musgrave,Husband - Dad - Consultant - @Conservatives Deputy Leader @SelbyDC & Councillor @northyorkscc,2
25242,thomasboy1,John Protheroe,,2
25244,asfacademy,All Star Football,Professional football coaching from 3 years old. Boys/Girls - All Abilities Welcome ⚽️ See our website for Franchise opportunities. #ItStartsWithAllStar⭐️,
25356,davidrjordan1,David Jordan,,2
25405,Cuckooqueen,Linda Reardon 🏴󠁧󠁢󠁷󠁬󠁳󠁿,"lost Mum, Uncle and cousin to #pancreaticcancer on mission to raise awareness in #Wales and UK. Supporter @PancreaticCancerUK and #AmserJustinTime",2
25513,EveshamGlobe,Evesham Globe,,
25518,Neighbo57332119,Neighbourhood Community Watch,Building public confidence by engaging in society & bridging the gap between police & communities .Together we are stronger.          “One Community”,
25714,SkiJacobs,Ski Pamporovo - BG,"Frozen in Orlando or Go Pamporovo for the snow  -  the news. accommodation, and flight deals and discounts are here  www,http://t.co/Mmyw53he1K",
25725,GaryNHughes,Gary Hughes,"Husband to 1, Father to 2. Ferroequinologist who loves ballroom dancing & presenting shows on @HWDRadio",
25850,crd1960,CRD,"grumpy !!
Love Europe; despise the EU.
Ensure we uphold British values, culture and standards. Stuff political correctness",
25967,silverfox177,james silverfox,"Member of BREXIT PARTY, British/English/Londoner. proud to be a patriot.🇬🇧also ex army r.e.9 years.😎",
25981,barbara_jupp,Barbara Jupp,"FOR BRITAIN member, love animals especially cats, I rescue and re-home them, love life love my kids & grandkids, re tweets not necessary endorsements .",
26002,gslowe47,George Lowe,,
26191,WakeyNic,Nic S 🍃 💚🍃🇬🇧🇿🇦,"My account, my views, if you don't like, don't follow.",
26315,benjamat10,Ask yourself❌ 🇬🇧🇬🇧🏴󠁧󠁢󠁷󠁬󠁳󠁿,"Against, EUSSR, Media propoganda and political spin, (lies). For, sovereignty and personal freedoms.
Animal lover frequent traveller. Always expose lies.",
26365,Palmaprincess,Hazel Shaw,"Love Spurs, cake and Rafael Nadal. Travel is a passion and politics is a fascination. #GetBrexitDone #BackBoris. Not Far Right just Right. Tory",
26400,kg_franklin,KG Franklin#SaveUS🌊,"Artist, crafty, old Bohemian @ heart, save the bees crusader, BlessedBeesGallery. NO lists plez. Save US from👌TrumpRu$$iaGOP Coup! 🇺🇸VOTE Blue!",
26442,AudreyJ80935849,Audrey Johnson,,
26475,MRAJPalmer,Andrew (12/Mar/08),"Technology leader (CITP) with @Mastekltd Warning, Tweets might contain professional opinions on Agile, Quality and Culture",
26515,BMayanjaQCnotQC,Bernie Mayanja,,
26518,Alexande7570219,Alexander Johnson🇺🇦🇺🇸,"🚀 Founder & SEO Santan 🎯 Serial  Entrepreneur, investor 🚰 production / Sale of @santa.factory @alexande7570219 🤝+19407570219",
26609,TrevorHowson,Trevor Howson,"Senior Project Manager, QS ❤ BHAFC, Lewes Women, Crawley Town, Steyning Town, ❤Politics #Democrat #Transparency #Get Brexit Done #BackBoris",
26636,TomButtonmoon,Tom Button,"Father to one Big Dude and one little monkey, Fiance to one gorgeous amazing mother. MY Family comes first.. @LUFC fan.",
26640,MissDebsMiller,✏Debs⭐,"Psychotherapist, eternal student, BSB fan, wannabe professional fangirl, animal lover #fibrowarrior",
26680,Aghay84,Al,all opinions are my own.,
26696,jackloudon,Jack Loudon,,
26699,Owen_Bell96,Owen Bell,Exeter graduate. Former researcher at @LearnWorkUK and @centreforcities. Chelsea fan. All views personal.,
26713,WSU_Albion,Liam Collins,Husband and dad. Teacher. Humanist. FRSA FCCT. ST in WSU. Followed #bhafc since 1978. #GOSBTS Seagulls Over Burwash,
26759,TCalimocho,Teddy Calimocho,to be,
26810,Catchthewind7,🇬🇧Mytinyisland 🔱,"From West London, Complete ATHEIST. If YOU don’t like my opinions don’t read my tweets, Freedom of speech",
26841,RuskingtonRich,Richard Wright,"Local Cllr, representing Ruskington & Leader at North Kesteven District Council. Area Chairman Lincs Conservatives.",
26852,FergSerra,Serra Ferg,just a dreamer for real democracy.. .any where every where,
26877,BarryBard,Barry Bard,"Proud to be British, Born in London, Living in Stamford Hill, CEO of @MajesticAutos & @MajesticAssist. loving the wheels.",
26976,ryanhenson87,Ryan Henson,"Campaigner, boxer, international development, social mobility, climate change, One Nation Conservative & Bedford GE2019 candidate 🇬🇧 🌍 🌱 🥊",
26991,JaneFox30949258,Jane The Nailer (N. I. Brexiteer) DefendBrexit.com,I am who I am,
27088,whittleseymuseu,WhittleseyMuseum,"Museum Open: Friday 2.30-4.30, Saturday 10-12, 
Sunday 2.30-4.30.             
Admission: Adults £1, Children 50p.",
27182,BrianMarAlli,BrianA,"Mix of English and Irish and proud of both. Pro-Brexit. Dislike racists and bullies. Politics - Neutral issue based. Sport - Rugby, Team - Northampton Saints",
27202,MichaelsMoss,Michael Moss,"Wellbeing Foods, Adventure, All round sports. Music festivals Motivate us. Former Voice over.🗣🍎🎶",
27357,rhderryman,robert derryman,"Boring individual who likes simple things .All views my own, not that anyone cares.",
27368,Charlesthornt,Steampunk_Gentleman Voted Labour No Regrets,"Vaguely human, Atheist, Socialist",
27545,appledell,Mike Morris,,
27566,InspiraPamG,Pam Gell,,
27605,fenwaypark2020,fenwaypark2020,"Red Sox, LFC ,MTB , Road. God and Country. 🇬🇧🇺🇸🇮🇱Nothing else matters !!! - Peace,Love and Sex.",
27633,DavidJohnParso3,Villa Follower,Villa Fan.brexit ..hate labour.lib undems. snp and any remainder who can’t convince me I’m wrong to want to leave the EU ...all views are my own,
27643,MaryCurnockCook,Mary Curnock Cook,NED @theaccessp @dyson_institute @weareLIS @OpenUniversity @SLCComms @UnitedLearning;@Founders4Schools. Advisory @HEPI @Cairneagle. HonPres AUA;#EdTech. ex UCAS,
27645,mikespalding,michael spalding,,
27651,jameshardy61,James Hardy,"Communicator at University of Cambridge. Father. Ex-BBC, ex-HMG, ex-journalist. Long suffering Leeds fan. YCCC",
27688,Dordevica,Aleksandar Dordevic,,
